Kommun,Folkmängd
Ale,32576
Alingsås,42722
Alvesta,19830
Aneby,6797
Arboga,13980
Arjeplog,2599
Arvidsjaur,6089
Arvika,25547
Askersund,11477
Avesta,22417
Bengtsfors,9076
Berg,7108
Bjurholm,2359
Bjuv,15985
Boden,28049
Bollebygd,9802
Bollnäs,26243
Borgholm,10666
Borlänge,51425
Borås,114872
Botkyrka,95905
Boxholm,5517
Bromölla,12470
Bräcke,6035
Burlöv,20101
Båstad,16026
Dals-Ed,4606
Danderyd,32425
Degerfors,9278
Dorotea,2294
Eda,8412
Ekerö,28910
Eksjö,17792
Emmaboda,9006
Enköping,48591
Eskilstuna,107203
Eslöv,34922
Essunga,5560
Fagersta,13072
Falkenberg,47337
Falköping,32806
Falun,59945
Filipstad,9776
Finspång,21623
Flen,15362
Forshaga,11520
Färgelanda,6376
Gagnef,10384
Gislaved,28936
Gnesta,11458
Gnosjö,9131
Gotland,60971
Grums,9004
Grästorp,5555
Gullspång,5031
Gällivare,17233
Gävle,103838
Göteborg,608993
Götene,13286
Habo,13456
Hagfors,11418
Hallsberg,16120
Hallstahammar,16653
Halmstad,106084
Hammarö,16992
Haninge,100895
Haparanda,9151
Heby,14345
Hedemora,15281
Helsingborg,152091
Herrljunga,9497
Hjo,9350
Hofors,9281
Huddinge,114304
Hudiksvall,37528
Hultsfred,13673
Hylte,10196
Håbo,22973
Hällefors,6321
Härjedalen,10175
Härnösand,24515
Härryda,40003
Hässleholm,52114
Höganäs,28430
Högsby,5321
Hörby,15562
Höör,17518
Jokkmokk,4701
Järfälla,88950
Jönköping,147654
Kalix,15391
Kalmar,72704
Karlsborg,7023
Karlshamn,31751
Karlskoga,30180
Karlskrona,66301
Karlstad,98084
Katrineholm,34154
Kil,12061
Kinda,9957
Kiruna,22426
Klippan,17714
Knivsta,21193
Kramfors,17491
Kristianstad,86379
Kristinehamn,23756
Krokom,15680
Kumla,22681
Kungsbacka,85792
Kungsör,8694
Kungälv,50313
Kävlinge,32477
Köping,25729
Laholm,26595
Landskrona,47309
Laxå,5423
Lekeberg,8606
Leksand,16137
Lerum,43570
Lessebo,8289
Lidingö,48377
Lidköping,40425
Lilla Edet,14442
Lindesberg,23141
Linköping,168035
Ljungby,28280
Ljusdal,18445
Ljusnarsberg,4369
Lomma,24715
Ludvika,26634
Luleå,79645
Lund,131590
Lycksele,12118
Lysekil,13907
Malmö,365644
Malung-Sälen,10254
Malå,2962
Mariestad,24583
Mark,35155
Markaryd,9938
Mellerud,9052
Mjölby,28695
Mora,20540
Motala,43505
Mullsjö,7594
Munkedal,10354
Munkfors,3625
Mölndal,71420
Mönsterås,13069
Mörbylånga,16224
Nacka,112112
Nora,10639
Norberg,5452
Nordanstig,9262
Nordmaling,6942
Norrköping,144980
Norrtälje,66585
Norsjö,3968
Nybro,19951
Nykvarn,12342
Nyköping,58344
Nynäshamn,30579
Nässjö,31587
Ockelbo,5715
Olofström,13000
Orsa,6851
Orust,15352
Osby,12947
Oskarshamn,26923
Ovanåker,11341
Oxelösund,12031
Pajala,5857
Partille,41060
Perstorp,7235
Piteå,42447
Ragunda,5146
Robertsfors,6690
Ronneby,28741
Rättvik,10998
Sala,22843
Salem,17507
Sandviken,38360
Sigtuna,52767
Simrishamn,18890
Sjöbo,19337
Skara,18707
Skellefteå,78150
Skinnskatteberg,4256
Skurup,17099
Skövde,57995
Smedjebacken,10823
Sollefteå,18396
Sollentuna,77624
Solna,85789
Sorsele,2357
Sotenäs,9104
Staffanstorp,27303
Stenungsund,27851
Stockholm,995574
Storfors,3788
Storuman,5577
Strängnäs,39313
Strömstad,13482
Strömsund,11023
Sundbyberg,56274
Sundsvall,99048
Sunne,13356
Surahammar,9845
Svalöv,14543
Svedala,23581
Svenljunga,10747
Säffle,14899
Säter,11223
Sävsjö,11563
Söderhamn,24545
Söderköping,14789
Södertälje,102911
Sölvesborg,17430
Tanum,12773
Tibro,11338
Tidaholm,12805
Tierp,21104
Timrå,17521
Tingsryd,11966
Tjörn,16092
Tomelilla,13639
Torsby,11321
Torsås,6984
Tranemo,11839
Tranås,18604
Trelleborg,47269
Trollhättan,59003
Trosa,14927
Tyresö,49179
Täby,77744
Töreboda,9043
Uddevalla,57010
Ulricehamn,24985
Umeå,134249
Upplands Väsby,50323
Upplands-Bro,32868
Uppsala,248016
Uppvidinge,9061
Vadstena,7490
Vaggeryd,14825
Valdemarsvik,7525
Vallentuna,35119
Vansbro,6752
Vara,16088
Varberg,69070
Vaxholm,11822
Vellinge,37816
Vetlanda,27528
Vilhelmina,6229
Vimmerby,15384
Vindeln,5417
Vingåker,8750
Vårgårda,12474
Vänersborg,40041
Vännäs,9132
Värmdö,46635
Värnamo,34542
Västervik,36447
Västerås,160634
Växjö,98334
Ydre,3626
Ystad,32106
Åmål,11906
Ånge,9044
Åre,12693
Årjäng,9825
Åsele,2694
Åstorp,16449
Åtvidaberg,11467
Älmhult,17653
Älvdalen,6882
Älvkarleby,9552
Älvsbyn,7774
Ängelholm,45110
Öckerö,12771
Ödeshög,5237
Örebro,160140
Örkelljunga,10277
Örnsköldsvik,55443
Östersund,64979
Österåker,49787
Östhammar,22138
Östra Göinge,13978
Överkalix,3201
Övertorneå,4057
